"","top.genre","nrgy"
"1","afro dancehall",62
"2","alternative pop rock",52
"3","art pop",41
"4","atl hip hop",61.6666666666667
"5","big room",83
"6","boy band",85
"7","brostep",75.5
"8","cali rap",47
"9","canadian contemporary r&b",59
"10","canadian hip hop",62.25
"11","canadian pop",55
"12","chicago rap",63.3333333333333
"13","complextro",66
"14","conscious hip hop",49.5
"15","dance pop",68.3809523809524
"16","dark clubbing",67
"17","detroit hip hop",75
"18","dfw rap",58.3333333333333
"19","edm",77
"20","electropop",68.5
"21","emo rap",46.25
"22","florida rap",60
"23","grime",65
"24","hip hop",57
"25","houston rap",81
"26","israeli pop",69
"27","latin",78.8
"28","lgbtq+ hip hop",60.5
"29","melodic rap",66.1666666666667
"30","memphis hip hop",54.5
"31","modern rock",82
"32","north carolina hip hop",66
"33","pop",58.4444444444444
"34","rap",73
"35","uk drill",47
"36","uk hip hop",50
