"","Top Genre2","Energy"
"1","Acoustic Pop",38
"2","Alaska Indie",34
"3","Art Pop",43
"4","Australian Dance",80
"5","Barbadian Pop",67
"6","Big Room",78
"7","Boy Band",81.2
"8","British Soul",55.5
"9","Brostep",79
"10","Canadian Pop",74.375
"11","Candy Pop",81
"12","Colombian Pop",81
"13","Complextro",79.5
"14","Dance Pop",75.54
"15","Detroit Hip Hop",93
"16","Edm",59
"17","Electropop",64.5
"18","French Indie Pop",89
"19","Hip Pop",67.5
"20","Indie Pop",83
"21","Latin",81
"22","Moroccan Pop",76
"23","Permanent Wave",66.5
"24","Pop",69.4
