"","Danceability","BPM"
"1",26,117
"2",28,136
"3",30,125
"4",38,144
"5",41,128
"6",43,148
"7",47,151
"8",48,118.5
"9",51,132
"10",53,110.5
"11",55,107.333333333333
"12",56,122
"13",57,140
"14",58,119
"15",59,105.25
"16",60,127
"17",61,112.666666666667
"18",62,108.333333333333
"19",63,100.333333333333
"20",64,101
"21",65,129.142857142857
"22",66,103
"23",67,99.5
"24",68,121
"25",69,124.5
"26",70,121.166666666667
"27",71,128
"28",72,115.25
"29",73,104.666666666667
"30",74,121
"31",75,116.75
"32",76,111.5
"33",77,125
"34",79,115
"35",80,110
"36",82,136
"37",83,121.5
"38",84,138
"39",85,121.5
