name,lat,long,most,num
12 Ave & W 40 St,40.76087502,-74.00277668,322,1
West St & Chambers St,40.71754834,-74.01322069,317,2
Central Park S & 6 Ave,40.76590936,-73.97634151,257,3
Pier 40 - Hudson River Park,40.72771408,-74.01129574,252,4
S 5 Pl & S 5 St,40.710451,-73.960876,251,5
1 Ave & E 68 St,40.76500525,-73.95818491,250,6
Broadway & W 60 St,40.76915505,-73.98191841,243,7
Central Park West & W 72 St,40.77579377,-73.97620574,235,8
Little West St & 1 Pl,40.70569254,-74.01677685,234,9
5 Ave & E 73 St,40.77282817,-73.96685276,232,10
