"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","Activities","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","TasteDislike","FavoriteNumberFrom1to5","FollowSport","FavoriteTeam","TriedFood","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay"
1687,"Eggplant","Blue and black","Yes, occasionally","Pig","Chocolate","Right-handed","Not 100% sure","Ice skate","Cooler",52,"Jennifer Aniston","Yes","iPhone","Tomatoes",1,"American Football","","Durian","Yes, most of them","No, but I'm totally doing that now","Odd","Tuesday"
4766,"Steak","Blue and black","I'm not sure what things you mean","Zebra","Vanilla","Right-handed","Not 100% sure","Drive a stick shift, Ice skate","Cooler",78,"Tom Hanks","No","iPhone","Tomatoes",5,"","Soccer","","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday"
9599,"Sweet Potatoes","White and gold","Yes, occasionally","Tiger","Chocolate","Ambidextrous","Yes, I believe so","Solve a Rubik's cube","Cooler",28,"Denzel Washington","Yes","iPhone","",5,"American Football, Soccer, Basketball","Seleccion Nacional De Mexico","","No","No","Odd","Tuesday"
6909,"pickles","I don't remember","Yes, occasionally","panda","Chocolate","mostly right-handed, but left-handed with very specific things","Yes, I believe so","Solve a Rubik's cube, Ice skate, Ski","Warmer",24,"Gong Yoo","No","","Cilantro, Tomatoes",4,"Soccer","","","No","No","Odd","Thursday"
7095,"Sushi","Blue and black","No","cat","Vanilla","Right-handed","A what?","Solve a Rubik's cube, Ice skate","Cooler",50,"Robert Downey Jr.","Yes","Android","Eggs, Tomatoes",2,"","","Aligator","No","No","Even","Tuesday"
6095,"Chocolate","White and gold","I'm not sure what things you mean","Frog","Vanilla","Right-handed","Not 100% sure","","Cooler",26,"Chris Pratt","Yes","iPhone","Eggs, Chocolate Ice-cream",4,"","","","Yes, most of them","No","Odd","Tuesday"
4907,"Lobster","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Yes, I believe so","","Warmer",99,"Leo Dicaprio","Yes","iPhone","",5,"American Football, Basketball, Cricket","Green Bay Packers","","Yes, most of them","No","Odd","Tuesday"
6161,"Hot dogs ","White and gold","No","Bison","Chocolate","Right-handed","Yes, and I have","Drive a stick shift, Ice skate, Ski, Juggle","Cooler",42,"John Wayne","Yes","iPhone","",4,"American Football, Soccer, Basketball","Dallas Cowboys","Frog legs, Aligator, Durian","Yes, one or two","No, but I'm totally doing that now","Even","Tuesday"
3919,"meatballs","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Drive a stick shift, Ice skate, Ski","Cooler",57,"Tom Cruise","Yes","iPhone","Cilantro",2,"American Football, Basketball","Seahawks","","Yes, one or two","No","Odd","Thursday"
7469,"steak","Blue and black","Yes, occasionally","cow","Vanilla","Right-handed","Not 100% sure","Drive a stick shift","Warmer",88,"Daniel Craig","No","iPhone","Eggs, Tomatoes, Yogurt",5,"Soccer, Cricket","","Thousand-year-old eggs","Yes, most of them","No, but I'm totally doing that now","Even","Thursday"
3708,"Tacos","I don't remember","Yes, occasionally","Tiger","Chocolate","Ambidextrous","Yes, I believe so","Drive a stick shift, Ice skate, Ski","Warmer",76,"Johnny Sins","No","iPhone","",2,"Soccer","FC Barcelona","","No","No","Even","Thursday"
1489,"Pasta","What dress?","I'm not sure what things you mean","Dog","Chocolate","Right-handed","Yes, I believe so","Ice skate","Warmer",10,"Robert Downey Jr.","No","iPhone","",5,"Soccer, Cricket","US Women's soccer team, Argentina Men's National Soccer Team","","Yes, most of them","No","Odd","Tuesday"
4954,"Pasta","What dress?","Yes, occasionally","Lion","Chocolate","Right-handed","A what?","Walk on stilts","Cooler",90,"Brad Pitt","Yes","iPhone","Cilantro",3,"Soccer, Cricket","Real Madrid","","Yes, most of them","No","Odd","Thursday"
7506,"cake","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Yes, I believe so","Solve a Rubik's cube, Juggle","Cooler",9,"Robert Downey Jr.","Yes","Android","",3,"American Football, Soccer","The Eagles","Snails","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday"
